# Compton profile shell occupancies
#
# Number of electrons in each atomic subshell for which G4EMLOW tabulates a
# Compton profile, in the order the profiles appear in profile-<Z>.dat.
#
# Source: F. Biggs, L. B. Mendelsohn and J. B. Mann, "Hartree-Fock Compton
# profiles for the elements", At. Data Nucl. Data Tables 16, 201-309 (1975),
# as tabulated in the DABAX file ComptonProfiles.dat (#UOCCUP keyword), from
# https://github.com/oasys-kit/DabaxFiles at commit 70ff903 (MIT licence).
# The DABAX profiles are identical to G4EMLOW profile-<Z>.dat to all tabulated
# digits for Z = 1-100, and its #UOCCUP is aligned column-for-column with
# them, so these occupancies refer to the same subshell as each profile.
#
# The occupancies in G4EMLOW shell-doppler.dat cannot be used: they follow the
# ordering of Geant4 G4AtomicShells (subshells sorted by decreasing binding
# energy) rather than the (n, l, j) ordering of the profiles and of the
# binding energies in the same file. For Z = 43 and 59-92 the two orderings
# differ and the occupancy does not belong to the subshell it is paired with.
#
# j0 is the profile value at pz = 0, carried as a fingerprint so that
# make_compton.py can verify each occupancy is still matched to the profile it
# was derived against.
#
#   Z  shell  electrons        j0
   39     14          2            1.9
   40      1          2         0.0209
   40      2          2         0.0762
   40      3          2         0.0382
   40      4          4         0.0392
   40      5          2          0.189
   40      6          2          0.114
   40      7          4          0.116
   40      8          4         0.0816
   40      9          6         0.0823
   40     10          2          0.501
   40     11          2          0.339
   40     12          4          0.342
   40     13          2          0.393
   40     14          2            1.8
   41      1          2         0.0203
   41      2          2         0.0741
   41      3          2         0.0371
   41      4          4         0.0381
   41      5          2          0.182
   41      6          2          0.109
   41      7          4          0.112
   41      8          4         0.0779
   41      9          6         0.0787
   41     10          2           0.48
   41     11          2          0.324
   41     12          4          0.326
   41     13          4          0.385
   41     14          1           1.88
   42      1          2         0.0198
   42      2          2          0.072
   42      3          2          0.036
   42      4          4         0.0371
   42      5          2          0.176
   42      6          2          0.105
   42      7          4          0.108
   42      8          4         0.0747
   42      9          6         0.0754
   42     10          2          0.456
   42     11          2          0.306
   42     12          4          0.309
   42     13          4          0.347
   42     14          1          0.357
   42     15          1           1.82
   43      1          2         0.0193
   43      2          2           0.07
   43      3          2          0.035
   43      4          4         0.0361
   43      5          2           0.17
   43      6          2          0.102
   43      7          4          0.104
   43      8          4         0.0717
   43      9          6         0.0724
   43     10          2           0.43
   43     11          2          0.287
   43     12          4          0.291
   43     13          4          0.299
   43     14          1          0.305
   43     15          2           1.62
   44      1          2         0.0188
   44      2          2         0.0682
   44      3          2         0.0341
   44      4          4         0.0352
   44      5          2          0.164
   44      6          2         0.0982
   44      7          4          0.101
   44      8          4          0.069
   44      9          6         0.0697
   44     10          2          0.416
   44     11          2          0.276
   44     12          4          0.281
   44     13          4          0.296
   44     14          3          0.303
   44     15          1           1.74
   45      1          2         0.0184
   45      2          2         0.0664
   45      3          2         0.0332
   45      4          4         0.0343
   45      5          2          0.159
   45      6          2         0.0949
   45      7          4         0.0973
   45      8          4         0.0665
   45      9          6         0.0671
   45     10          2          0.399
   45     11          2          0.263
   45     12          4           0.27
   45     13          4          0.277
   45     14          4          0.283
   45     15          1            1.7
   46      1          2         0.0179
