# Compton profile shell occupancies
#
# Number of electrons in each atomic subshell for which G4EMLOW tabulates a
# Compton profile, in the order the profiles appear in profile-<Z>.dat.
#
# Source: F. Biggs, L. B. Mendelsohn and J. B. Mann, "Hartree-Fock Compton
# profiles for the elements", At. Data Nucl. Data Tables 16, 201-309 (1975),
# as tabulated in the DABAX file ComptonProfiles.dat (#UOCCUP keyword), from
# https://github.com/oasys-kit/DabaxFiles at commit 70ff903 (MIT licence).
# The DABAX profiles are identical to G4EMLOW profile-<Z>.dat to all tabulated
# digits for Z = 1-100, and its #UOCCUP is aligned column-for-column with
# them, so these occupancies refer to the same subshell as each profile.
#
# The occupancies in G4EMLOW shell-doppler.dat cannot be used: they follow the
# ordering of Geant4 G4AtomicShells (subshells sorted by decreasing binding
# energy) rather than the (n, l, j) ordering of the profiles and of the
# binding energies in the same file. For Z = 43 and 59-92 the two orderings
# differ and the occupancy does not belong to the subshell it is paired with.
#
# j0 is the profile value at pz = 0, carried as a fingerprint so that
# make_compton.py can verify each occupancy is still matched to the profile it
# was derived against.
#
#   Z  shell  electrons        j0
   82     13          4         0.0718
   82     14          6         0.0735
   82     15          6         0.0606
   82     16          8         0.0614
   82     17          2          0.325
   82     18          2          0.215
   82     19          4          0.237
   82     20          4          0.221
   82     21          6          0.227
   82     22          2           1.04
   82     23          2          0.808
   83      1          2        0.00867
   83      2          2         0.0309
   83      3          2          0.015
   83      4          4         0.0171
   83      5          2         0.0678
   83      6          2         0.0396
   83      7          4         0.0432
   83      8          4         0.0278
   83      9          6         0.0286
   83     10          2          0.138
   83     11          2         0.0866
   83     12          4         0.0939
   83     13          4         0.0703
   83     14          6          0.072
   83     15          6         0.0589
   83     16          8         0.0597
   83     17          2          0.314
   83     18          2          0.207
   83     19          4          0.228
   83     20          4          0.208
   83     21          6          0.214
   83     22          2          0.955
   83     23          2          0.713
   83     24          1          0.832
   84      1          2        0.00852
   84      2          2         0.0304
   84      3          2         0.0147
   84      4          4         0.0169
   84      5          2         0.0666
   84      6          2          0.039
   84      7          4         0.0425
   84      8          4         0.0274
   84      9          6         0.0282
   84     10          2          0.135
   84     11          2         0.0848
   84     12          4         0.0921
   84     13          4         0.0688
   84     14          6         0.0706
   84     15          6         0.0573
   84     16          8          0.058
   84     17          2          0.303
   84     18          2            0.2
   84     19          4           0.22
   84     20          4          0.197
   84     21          6          0.203
   84     22          2          0.887
   84     23          2          0.645
   84     24          2          0.753
   85      1          2        0.00838
   85      2          2         0.0299
   85      3          2         0.0145
   85      4          4         0.0167
   85      5          2         0.0655
   85      6          2         0.0383
   85      7          4         0.0419
   85      8          4          0.027
   85      9          6         0.0278
   85     10          2          0.132
   85     11          2         0.0831
   85     12          4         0.0904
   85     13          4         0.0674
   85     14          6         0.0691
   85     15          6         0.0558
   85     16          8         0.0565
   85     17          2          0.293
   85     18          2          0.193
   85     19          4          0.212
   85     20          4          0.188
   85     21          6          0.194
   85     22          2           0.83
   85     23          2          0.593
   85     24          3          0.692
   86      1          2        0.00823
   86      2          2         0.0294
   86      3          2         0.0142
   86      4          4         0.0165
   86      5          2         0.0644
   86      6          2         0.0376
   86      7          4         0.0413
   86      8          4         0.0266
   86      9          6         0.0274
   86     10          2           0.13
   86     11          2         0.0814
   86     12          4         0.0887
   86     13          4         0.0661
   86     14          6         0.0678
   86     15          6         0.0543
   86     16          8          0.055
   86     17          2          0.284
   86     18          2          0.187
   86     19          4          0.205
   86     20          4          0.179
   86     21          6          0.185
   86     22          2          0.782
   86     23          2          0.551
   86     24          4          0.644
   87      1          2        0.00809
   87      2          2         0.0289
   87      3          2          0.014
   87      4          4         0.0162
   87      5          2         0.0634
   87      6          2          0.037
   87      7          4         0.0407
   87      8          4         0.0262
   87      9          6          0.027
   87     10          2          0.127
   87     11          2         0.0798
   87     12          4         0.0871
   87     13          4         0.0648
   87     14          6         0.0665
   87     15          6          0.053
   87     16          8         0.0537
   87     17          2          0.275
   87     18          2          0.181
   87     19          4          0.199
   87     20          4          0.172
   87     21          6          0.177
   87     22          2          0.714
   87     23          2          0.496
   87     24          4          0.571
   87     25          1           2.65
   88      1          2        0.00796
   88      2          2         0.0285
   88      3          2         0.0137
   88      4          4          0.016
   88      5          2         0.0623
   88      6          2         0.0364
   88      7          4         0.0401
   88      8          4         0.0258
   88      9          6         0.0266
   88     10          2          0.125
   88     11          2         0.0782
   88     12          4         0.0856
   88     13          4         0.0635
   88     14          6         0.0652
   88     15          6         0.0517
   88     16          8         0.0524
   88     17          2          0.266
   88     18          2          0.175
   88     19          4          0.192
   88     20          4          0.165
   88     21          6           0.17
   88     22          2          0.657
   88     23          2          0.456
   88     24          4           0.52
   88     25          2           2.19
   89      1          2        0.00782
   89      2          2          0.028
   89      3          2         0.0135
   89      4          4         0.0158
   89      5          2         0.0613
   89      6          2         0.0358
   89      7          4         0.0395
   89      8          4         0.0254
   89      9          6         0.0262
   89     10          2          0.122
   89     11          2         0.0767
   89     12          4         0.0841
   89     13          4         0.0623
   89     14          6          0.064
   89     15          6         0.0505
   89     16          8         0.0512
   89     17          2          0.258
   89     18          2          0.169
   89     19          4          0.187
   89     20          4          0.158
   89     21          6          0.163
   89     22          2          0.617
   89     23          2          0.429
   89     24          4          0.484
   89     25          1          0.608
   89     26          2           1.99
   90      1          2        0.00769
   90      2          2         0.0275
   90      3          2         0.0133
   90      4          4         0.0156
   90      5          2         0.0603
   90      6          2         0.0352
   90      7          4          0.039
   90      8          4          0.025
   90      9          6         0.0259
   90     10          2           0.12
   90     11          2         0.0752
   90     12          4         0.0826
   90     13          4         0.0611
   90     14          6         0.0628
   90     15          6         0.0493
   90     16          8           0.05
   90     17          2          0.251
   90     18          2          0.164
   90     19          4          0.181
   90     20          4          0.152
   90     21          6          0.157
   90     22          2          0.585
   90     23          2          0.408
   90     24          4          0.456
   90     25          2          0.535
   90     26          2           1.86
   91      1          2        0.00756
   91      2          2         0.0271
   91      3          2          0.013
   91      4          4         0.0154
   91      5          2         0.0593
   91      6          2         0.0346
   91      7          4         0.0384
   91      8          4         0.0247
   91      9          6         0.0255
   91     10          2          0.118
   91     11          2         0.0738
   91     12          4         0.0812
   91     13          4           0.06
   91     14          6         0.0617
   91     15          6         0.0482
   91     16          8         0.0489
   91     17          2          0.245
   91     18          2          0.161
   91     19          4          0.177
   91     20          4          0.149
   91     21          6          0.153
   91     22          2          0.207
   91     23          2           0.58
   91     24          2          0.401
   91     25          4          0.459
   91     26          1          0.558
   91     27          2           1.93
   92      1          2        0.00743
   92      2          2         0.0267
   92      3          2         0.0128
   92      4          4         0.0152
   92      5          2         0.0584
   92      6          2          0.034
   92      7          4         0.0379
   92      8          4         0.0243
   92      9          6         0.0252
   92     10          2          0.115
   92     11          2         0.0724
   92     12          4         0.0798
   92     13          4         0.0589
   92     14          6         0.0606
   92     15          6         0.0472
   92     16          8         0.0479
   92     17          2          0.238
   92     18          2          0.157
   92     19          4          0.173
   92     20          4          0.145
   92     21          6          0.149
   92     22          3          0.193
   92     23          2          0.565
   92     24          2           0.39
   92     25          4           0.45
   92     26          1          0.543
   92     27          2           1.91
   93      1          2         0.0073
   93      2          2         0.0262
   93      3          2         0.0126
   93      4          4          0.015
   93      5          2         0.0575
   93      6          2         0.0334
   93      7          4         0.0374
   93      8          4          0.024
   93      9          6         0.0248
   93     10          2          0.113
   93     11          2          0.071
   93     12          4         0.0785
   93     13          4         0.0579
   93     14          6         0.0596
   93     15          6         0.0462
   93     16          8         0.0469
   93     17          2          0.233
   93     18          2          0.153
   93     19          4          0.169
   93     20          4          0.142
   93     21          6          0.145
   93     22          4          0.182
   93     23          2          0.552
   93     24          2           0.38
   93     25          4          0.442
   93     26          1          0.532
   93     27          2           1.89
   94      1          2        0.00718
   94      2          2         0.0258
   94      3          2         0.0124
   94      4          4         0.0149
   94      5          2         0.0565
   94      6          2         0.0329
   94      7          4         0.0369
   94      8          4         0.0237
   94      9          6         0.0245
   94     10          2          0.111
   94     11          2         0.0697
   94     12          4         0.0772
   94     13          4         0.0569
   94     14          6         0.0585
   94     15          6         0.0452
   94     16          8          0.046
   94     17          2          0.228
   94     18          2           0.15
   94     19          4          0.166
   94     20          4          0.139
   94     21          6          0.142
   94     22          6          0.183
   94     23          2           0.55
   94     24          2          0.376
   94     25          4          0.449
   94     26          2           1.99
   95      1          2        0.00705
   95      2          2         0.0254
   95      3          2         0.0121
   95      4          4         0.0147
   95      5          2         0.0557
   95      6          2         0.0324
   95      7          4         0.0364
   95      8          4         0.0233
   95      9          6         0.0242
   95     10          2          0.109
   95     11          2         0.0684
   95     12          4          0.076
   95     13          4         0.0559
   95     14          6         0.0576
   95     15          6         0.0443
   95     16          8          0.045
   95     17          2          0.222
   95     18          2          0.146
   95     19          4          0.162
   95     20          4          0.136
   95     21          6          0.139
   95     22          6          0.174
   95     23          1          0.187
   95     24          2          0.538
   95     25          2          0.367
   95     26          4          0.441
   95     27          2           1.97
   96      1          2        0.00693
   96      2          2          0.025
   96      3          2         0.0119
   96      4          4         0.0145
   96      5          2         0.0548
   96      6          2         0.0318
   96      7          4         0.0359
   96      8          4          0.023
   96      9          6         0.0239
   96     10          2          0.107
   96     11          2         0.0672
   96     12          4         0.0748
   96     13          4         0.0549
   96     14          6         0.0566
   96     15          6         0.0435
   96     16          8         0.0442
   96     17          2          0.217
   96     18          2          0.142
   96     19          4          0.159
   96     20          4          0.132
   96     21          6          0.136
   96     22          6          0.159
   96     23          1          0.166
   96     24          2          0.516
   96     25          2          0.353
   96     26          4          0.421
   96     27          1          0.516
   96     28          2           1.83
   97      1          2        0.00681
   97      2          2         0.0246
   97      3          2         0.0117
   97      4          4         0.0143
   97      5          2         0.0539
   97      6          2         0.0313
   97      7          4         0.0355
   97      8          4         0.0227
   97      9          6         0.0236
   97     10          2          0.105
   97     11          2          0.066
   97     12          4         0.0736
   97     13          4          0.054
   97     14          6         0.0557
   97     15          6         0.0427
   97     16          8         0.0434
   97     17          2          0.213
   97     18          2          0.139
   97     19          4          0.156
   97     20          4           0.13
   97     21          6          0.133
   97     22          6           0.16
   97     23          3          0.169
   97     24          2          0.515
   97     25          2          0.351
   97     26          4          0.427
   97     27          2           1.93
   98      1          2         0.0067
   98      2          2         0.0242
   98      3          2         0.0115
   98      4          4         0.0141
   98      5          2         0.0531
   98      6          2         0.0308
   98      7          4          0.035
   98      8          4         0.0224
   98      9          6         0.0233
   98     10          2          0.104
   98     11          2         0.0648
   98     12          4         0.0725
   98     13          4         0.0531
   98     14          6         0.0548
   98     15          6         0.0419
   98     16          8         0.0426
   98     17          2          0.208
   98     18          2          0.136
   98     19          4          0.153
   98     20          4          0.127
   98     21          6          0.131
   98     22          6          0.154
   98     23          4          0.162
   98     24          2          0.505
   98     25          2          0.344
   98     26          4          0.421
   98     27          2           1.91
   99      1          2        0.00658
   99      2          2         0.0238
   99      3          2         0.0113
   99      4          4          0.014
   99      5          2         0.0523
   99      6          2         0.0303
   99      7          4         0.0346
   99      8          4         0.0221
   99      9          6          0.023
   99     10          2          0.102
   99     11          2         0.0636
   99     12          4         0.0714
   99     13          4         0.0523
   99     14          6          0.054
   99     15          6         0.0411
   99     16          8         0.0418
   99     17          2          0.204
   99     18          2          0.133
   99     19          4           0.15
   99     20          4          0.124
   99     21          6          0.128
   99     22          6          0.149
   99     23          5          0.156
   99     24          2          0.495
   99     25          2          0.337
   99     26          4          0.415
   99     27          2           1.89
  100      1          2        0.00646
  100      2          2         0.0234
  100      3          2         0.0111
  100      4          4         0.0138
  100      5          2         0.0515
  100      6          2         0.0298
  100      7          4         0.0341
  100      8          4         0.0218
  100      9          6         0.0227
  100     10          2         0.0999
  100     11          2         0.0625
  100     12          4         0.0703
  100     13          4         0.0515
  100     14          6         0.0532
  100     15          6         0.0404
  100     16          8         0.0411
  100     17          2          0.199
  100     18          2           0.13
  100     19          4          0.148
  100     20          4          0.121
  100     21          6          0.126
  100     22          6          0.144
  100     23          6          0.151
  100     24          2          0.485
  100     25          2          0.331
  100     26          4           0.41
  100     27          2           1.87
